"Município";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"Total"
"411700 Nova Fátima";-;-;-;-;-;1;2;1;1;-;2;1;1;-;1;-;2;1;1;-;2;-;-;1;2;1;2;-;1;-;-;-;1;-;2;7;2;1;-;1;2;1;6;1;1;2;5;2;2;1;2;-;1;1;2;2;-;1;2;1;-;1;-;-;-;-;-;1;-;1;3;-;1;-;3;-;-;2;1;3;-;-;-;-;-;2;-;-;-;-;-;-;2;1;2;-;-;-;-;1;-;1;1;-;-;-;1;1;1;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;112
"411705 Nova Laranjeiras";-;-;-;-;-;-;1;-;-;-;-;1;1;3;2;1;1;-;1;-;3;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;1;1;1;1;3;-;-;-;-;1;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;2;2;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39
"411710 Nova Londrina";-;-;-;-;-;1;1;1;3;2;-;1;-;-;2;-;-;1;-;2;1;-;1;1;-;-;1;1;1;1;3;-;1;1;-;-;-;1;3;-;1;2;5;4;-;1;4;2;-;3;1;-;-;2;-;2;1;3;2;1;-;2;-;3;-;3;-;2;-;2;1;2;2;3;2;1;2;3;1;-;1;-;-;1;-;5;1;3;-;1;1;-;-;1;1;2;1;2;-;-;-;1;1;2;4;1;-;3;1;-;3;2;2;-;-;3;-;1;1;1;1;2;1;3;1;-;2;2;2;2;-;2;1;-;4;2;1;1;1;1;-;3;-;-;-;-;-;2;3;2;-;-;-;-;-;-;178
"411720 Nova Olímpia";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;22
"411725 Nova Prata do Iguaçu";-;-;-;-;-;-;3;-;1;-;1;-;4;-;-;-;1;-;-;-;1;2;-;1;1;-;1;-;-;-;-;-;1;-;-;-;-;-;1;2;-;-;-;-;1;1;2;-;-;1;1;-;1;1;-;1;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36
"411721 Nova Santa Bárbara";-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;3;-;-;-;-;-;1;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;1;-;-;1;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;30
"411722 Nova Santa Rosa";-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;1;-;-;-;-;-;2;1;-;-;2;-;-;-;-;1;-;-;1;-;-;1;1;-;-;-;1;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;1;-;-;1;2;1;35
"411727 Nova Tebas";-;-;-;-;-;-;2;-;1;1;2;-;-;1;-;-;-;-;-;1;2;-;-;-;-;1;-;1;-;-;3;-;-;-;-;2;1;-;2;1;1;1;1;-;2;-;1;-;1;3;1;-;-;-;1;-;-;1;-;-;1;2;1;1;-;-;-;1;2;2;-;-;3;-;-;1;2;2;2;2;-;-;-;3;1;-;-;2;-;-;-;1;1;2;-;1;-;-;-;-;-;1;-;-;3;-;1;-;1;2;1;1;-;3;-;-;1;-;1;2;1;1;2;-;-;-;-;3;-;-;1;1;-;-;2;-;2;-;2;1;-;-;1;-;1;-;-;-;1;2;-;2;2;3;1;-;113
"411729 Novo Itacolomi";-;-;-;-;-;-;1;-;2;-;1;-;1;2;-;1;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;1;-;2;1;-;1;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;41
"411730 Ortigueira";-;-;-;-;-;-;3;1;2;-;2;1;-;1;-;1;1;2;2;2;3;1;1;2;-;1;-;2;-;-;-;2;-;1;2;1;1;2;1;2;1;1;2;2;4;1;5;2;6;2;-;3;3;2;2;2;3;3;-;2;-;-;1;1;-;3;1;2;1;1;1;-;-;-;1;2;1;-;3;-;1;2;-;1;-;1;3;2;1;1;1;1;2;2;1;-;1;2;1;1;-;3;3;-;-;-;1;2;-;3;-;6;2;1;4;-;2;4;2;2;3;1;1;-;-;3;2;-;2;3;2;1;1;4;2;2;1;2;2;2;1;1;2;1;1;-;-;-;3;2;-;5;1;2;1;-;217
"411740 Ourizona";-;-;-;-;-;-;1;1;-;1;-;-;2;1;1;1;-;-;-;1;-;-;1;1;-;-;-;-;-;-;1;2;1;-;-;1;-;-;-;-;1;-;1;1;-;-;-;-;1;-;-;2;-;1;-;-;-;2;-;-;-;1;-;-;-;2;-;2;-;1;-;-;2;-;-;1;-;-;-;1;1;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;2;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;52
"411745 Ouro Verde do Oeste";-;-;-;-;-;-;3;1;-;3;1;2;2;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26
"411750 Paiçandu";-;-;-;-;-;2;3;2;-;2;4;4;2;5;3;2;1;1;-;4;1;2;1;2;1;4;5;1;-;-;5;6;2;1;3;-;1;4;2;2;2;3;1;2;-;2;4;2;1;1;1;6;4;1;1;3;4;2;-;3;1;3;4;2;3;2;2;3;3;7;2;1;-;1;1;3;3;4;3;1;4;-;1;1;1;3;1;-;1;4;5;-;3;1;2;2;1;5;-;1;2;3;3;3;-;-;1;-;1;-;-;2;2;1;2;-;1;1;1;4;3;1;1;-;2;2;1;3;1;1;2;3;4;4;3;2;3;3;-;1;1;1;3;5;1;1;1;2;1;-;2;3;1;-;1;-;296
"411760 Palmas";-;-;-;-;1;3;1;1;1;1;-;1;-;-;2;2;-;-;1;-;-;-;-;-;1;2;-;2;-;1;3;1;1;2;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;2;2;1;2;6;1;1;1;-;1;1;3;-;2;-;2;-;1;-;2;1;-;2;2;1;-;2;1;-;-;-;2;3;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;3;2;3;1;6;-;3;2;5;-;1;1;5;1;-;1;119
"411770 Palmeira";-;-;-;-;-;-;5;-;1;3;2;-;1;3;1;1;-;1;3;2;-;2;-;2;-;1;-;-;-;-;1;-;1;-;2;-;-;-;1;-;-;-;1;1;1;-;1;1;-;-;-;-;1;1;1;-;-;-;-;-;-;1;-;1;-;-;-;-;3;1;1;3;1;2;1;1;-;-;-;1;-;-;-;-;-;1;1;-;3;-;-;-;1;1;-;1;1;3;2;3;1;-;2;-;-;1;2;1;1;1;2;3;4;4;-;4;2;7;9;1;1;1;2;-;5;1;2;1;5;1;5;4;5;3;1;4;4;3;-;2;5;1;2;4;3;5;3;2;2;4;3;-;1;-;1;1;206
"411780 Palmital";-;-;-;-;-;2;2;1;1;3;2;1;1;3;2;4;1;1;-;-;2;2;-;1;-;1;-;1;-;2;1;1;2;-;1;-;2;1;1;-;2;-;-;1;-;-;3;-;-;4;1;5;2;-;5;1;1;-;-;-;1;1;-;-;1;1;2;-;-;1;-;2;-;-;-;1;-;1;-;-;2;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;3;1;1;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;-;99
"411790 Palotina";-;-;-;-;-;-;7;1;1;-;1;1;1;1;1;3;-;2;1;1;-;-;-;-;-;-;-;-;-;-;2;1;-;2;2;1;1;-;2;-;1;1;-;-;1;1;1;1;1;2;2;-;4;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;1;-;1;2;2;-;-;-;2;1;1;-;-;1;3;1;-;1;-;1;1;-;-;1;1;-;-;-;-;1;-;-;-;3;2;1;1;2;-;-;2;1;-;-;1;1;-;1;1;-;2;3;2;-;-;2;-;1;1;1;1;3;1;1;-;-;4;4;2;3;2;-;124
"411800 Paraíso do Norte";-;-;-;-;-;-;-;-;1;-;-;-;3;1;-;-;-;-;-;2;-;-;-;4;-;-;-;-;1;1;1;-;-;-;1;-;1;-;-;-;-;2;1;1;1;-;3;-;-;1;1;-;1;-;-;1;-;1;-;-;-;1;-;-;-;1;1;1;-;-;2;1;1;1;-;-;-;1;-;1;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;1;-;-;-;1;-;1;1;-;1;-;-;-;-;-;-;1;1;-;2;-;1;2;-;-;-;-;-;-;-;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;-;-;-;-;1;2;1;-;1;-;-;-;1;79
"411810 Paranacity";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;1;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;2;-;1;-;-;-;-;1;-;-;-;-;1;1;1;-;-;1;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;36
"411820 Paranaguá";-;-;-;-;-;-;4;1;1;1;2;1;4;-;-;2;2;1;3;2;1;1;1;-;1;1;2;-;4;1;3;2;1;-;1;1;2;1;1;1;3;2;-;1;1;1;1;2;1;-;1;-;1;-;1;-;-;1;2;1;2;2;-;2;3;2;-;1;-;3;3;2;-;2;1;-;1;1;1;3;1;-;6;-;2;-;4;5;2;1;1;2;4;3;-;3;1;1;6;-;1;1;3;1;3;2;1;1;2;2;1;3;1;1;-;2;1;1;3;2;1;-;-;1;1;1;2;3;3;3;-;1;1;5;1;2;2;3;-;1;2;1;1;2;-;1;1;1;2;-;-;2;-;-;1;1;217
"411830 Paranapoema";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;1;-;-;-;-;-;-;1;3;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"411840 Paranavaí";-;-;-;-;-;1;9;1;3;-;2;4;1;5;6;2;3;4;5;2;5;4;3;6;4;-;3;6;6;3;2;4;1;-;4;5;7;5;3;4;1;3;4;2;2;3;7;7;1;5;4;3;6;6;5;9;5;4;8;9;9;7;8;6;2;9;5;4;5;10;2;3;9;2;2;5;3;4;5;4;3;5;2;5;4;6;4;3;3;2;6;6;5;6;5;5;11;12;4;12;14;6;6;4;3;7;12;6;8;6;5;2;2;12;5;7;8;5;3;7;2;5;2;1;1;5;4;1;8;1;1;2;3;7;1;7;6;4;6;10;6;3;4;4;-;2;9;4;8;5;2;7;3;2;4;6;704
"411845 Pato Bragado";-;-;-;-;-;-;-;4;-;-;-;-;1;-;-;-;1;1;1;-;1;1;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;2;1;-;-;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;29
"411850 Pato Branco";-;-;-;-;-;-;4;1;1;2;-;-;-;1;-;-;3;3;1;-;2;3;1;-;3;2;-;-;-;2;2;2;1;2;1;2;2;3;1;1;2;1;1;2;2;1;-;2;-;-;2;-;4;1;-;1;2;1;-;1;1;-;-;1;-;-;2;1;1;4;2;1;-;-;2;-;2;-;1;1;1;-;-;1;1;1;2;1;1;-;-;-;1;-;1;-;-;1;-;-;1;1;1;1;-;1;2;1;2;4;2;1;-;2;-;1;2;-;-;-;1;2;-;-;-;-;2;1;1;1;-;1;1;1;2;1;-;-;-;1;2;1;1;1;1;-;1;-;1;1;3;1;1;1;-;-;151
"411860 Paula Freitas";-;-;-;1;-;1;-;1;-;-;-;1;-;1;1;-;-;1;-;-;1;2;-;1;-;1;-;-;-;-;1;1;-;1;2;-;-;-;-;1;-;-;-;2;2;1;1;-;-;1;-;-;-;-;2;-;-;-;3;-;1;-;-;-;-;-;2;1;-;-;3;-;-;1;-;-;-;1;-;-;-;2;-;1;1;1;1;1;1;1;-;1;-;-;-;1;-;1;-;-;-;-;-;-;1;4;-;-;-;1;-;1;1;-;-;-;1;-;-;1;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;1;-;-;2;-;1;2;-;-;1;-;1;-;-;5;1;1;2;-;1;1;83
"411870 Paulo Frontin";-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;1;-;1;-;1;-;-;-;-;-;-;-;1;-;1;-;3;-;-;1;1;-;1;1;-;-;1;1;-;2;1;1;2;1;1;4;1;-;-;2;1;-;-;-;2;1;-;1;2;3;-;1;2;4;1;-;-;2;2;1;1;-;1;1;-;1;-;-;1;-;-;-;1;3;1;1;1;1;1;4;1;1;-;1;1;-;-;1;-;4;3;1;1;5;-;-;1;1;1;-;-;-;-;1;-;1;3;1;-;-;-;1;1;2;1;1;2;-;-;-;-;-;1;-;4;1;-;-;-;118
"411880 Peabiru";-;-;-;-;-;-;-;1;1;3;1;-;2;2;1;-;-;1;-;-;-;-;4;2;3;-;-;-;-;-;-;1;3;2;1;-;2;-;1;1;1;1;2;-;-;1;1;-;-;-;2;1;-;1;-;-;1;1;-;3;-;-;-;2;1;-;-;1;-;-;-;-;1;1;-;1;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;2;-;-;-;-;-;1;1;2;-;-;-;73
"411885 Perobal";-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;10
"411890 Pérola";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2;-;1;1;-;-;-;-;1;1;1;1;-;-;1;-;1;1;1;2;-;1;1;-;-;-;-;1;-;1;-;-;-;-;-;1;1;1;-;1;-;2;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;1;-;-;-;-;38
"411900 Pérola d'Oeste";-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;3;1;2;-;-;-;1;-;-;-;-;1;-;-;1;-;1;1;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"411910 Piên";-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;1;1;-;-;-;-;1;-;-;-;-;1;1;-;5;-;1;1;1;1;2;1;1;2;1;-;-;1;-;-;-;-;-;2;1;-;1;2;-;-;-;-;1;1;1;-;-;1;1;-;1;2;-;1;-;-;-;-;-;1;-;-;-;3;-;1;-;1;-;-;-;1;1;-;-;2;1;-;-;1;-;-;1;1;-;1;-;1;-;-;-;-;-;2;2;2;2;-;-;-;-;-;2;-;2;-;-;1;-;73
"411915 Pinhais";-;-;-;-;-;1;31;9;13;19;12;9;10;8;11;12;5;11;7;10;15;10;11;9;6;12;9;10;7;10;9;7;13;8;6;9;13;5;9;13;10;9;9;5;5;5;10;6;7;8;7;5;8;10;11;6;11;11;8;7;10;9;7;7;9;8;15;7;9;13;5;7;12;13;4;3;6;10;6;6;9;3;12;5;3;5;6;3;10;7;13;7;4;14;14;7;3;6;2;4;9;8;9;10;8;9;5;4;4;7;5;10;10;2;9;4;5;2;4;7;7;13;4;3;10;7;11;7;6;9;8;6;5;9;9;9;7;3;10;11;6;7;3;4;9;5;6;4;5;6;8;2;6;5;3;3;1187
"411925 Pinhal de São Bento";-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"411920 Pinhalão";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2;1;1;-;-;-;-;-;-;1;-;-;1;1;-;2;1;-;1;-;1;-;1;-;1;1;2;2;-;-;-;1;-;2;2;1;-;2;2;-;2;-;1;-;-;2;2;-;2;1;1;-;-;1;-;1;3;1;-;1;-;-;-;2;1;1;1;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;2;1;-;1;-;-;-;-;-;1;-;-;2;-;1;1;-;1;1;-;-;-;-;-;1;1;1;-;-;-;-;1;2;1;-;-;1;2;-;1;-;1;-;-;-;-;-;1;-;82
"411930 Pinhão";-;-;-;1;-;1;3;2;1;1;-;-;-;4;-;1;-;-;1;-;1;1;-;-;3;-;3;-;-;-;2;-;-;2;1;1;2;2;3;-;1;2;-;1;3;1;2;2;1;1;-;1;1;1;2;2;-;1;-;2;-;3;-;-;1;-;-;4;1;2;-;-;2;-;1;-;1;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;1;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;91
"411940 Piraí do Sul";-;-;-;-;-;-;3;2;2;1;2;3;1;1;-;1;3;1;-;-;2;1;1;2;1;1;-;2;-;-;-;1;2;4;3;1;2;2;1;3;-;1;1;-;-;1;-;-;2;-;-;-;-;-;-;3;-;1;2;-;-;-;-;2;2;1;-;1;-;-;-;-;2;-;2;1;6;2;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;2;-;1;-;-;1;1;2;1;1;-;1;-;1;1;1;-;-;-;-;1;-;-;-;-;1;-;2;-;1;1;1;1;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;1;-;-;-;1;-;2;1;2;1;-;-;-;-;114
"411950 Piraquara";-;-;-;-;-;2;33;10;14;16;16;10;17;11;15;6;11;6;14;6;8;15;10;13;12;16;5;9;11;11;15;10;14;7;5;11;13;15;9;7;12;16;12;11;11;11;19;15;13;9;13;7;12;14;11;8;7;8;9;10;6;6;5;1;2;3;2;9;5;6;7;3;8;6;5;3;1;4;5;7;4;9;7;4;9;8;8;7;4;10;10;4;10;7;7;4;6;7;-;8;8;8;11;4;2;4;7;6;3;7;3;4;8;7;7;3;5;2;6;1;10;6;8;5;7;7;4;4;4;6;6;5;1;5;4;6;4;6;5;5;1;2;7;1;2;5;5;3;2;5;7;3;4;2;3;3;1127
"411960 Pitanga";-;-;-;-;-;1;1;1;2;3;1;4;1;-;-;4;1;-;2;2;3;3;4;1;1;-;2;-;2;3;2;-;3;3;1;3;2;6;7;5;2;6;1;6;3;2;4;6;2;4;-;4;2;2;3;3;3;2;5;4;2;2;-;3;2;2;4;1;5;3;-;5;8;7;4;4;4;1;-;1;-;-;-;-;-;4;-;-;1;-;-;2;1;-;1;-;1;-;-;1;1;-;-;-;2;4;-;1;-;1;-;-;2;3;6;-;2;1;-;-;1;1;-;2;2;1;6;-;-;1;-;-;-;-;-;1;-;-;1;-;-;1;1;-;-;2;-;2;3;-;-;1;1;-;-;-;257
"411965 Pitangueiras";-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;2;-;-;-;1;1;1;-;-;-;-;1;-;-;-;2;-;1;-;-;-;-;-;1;1;-;1;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;35
